lib_id,games
547685,"[54, 612, 545, 597, 573, 611, 613, 556, 614, 615, 21, 29, 389, 627, 628, 1326, 1029, 980, 19, 616, 1207, 629, 1318, 529, 963]"
554278,"[545, 54, 558, 281, 1090, 5, 107, 1091, 1092, 271, 612, 611, 613, 1011, 614, 548, 615, 389, 390, 139, 206, 627, 628, 279, 1014, 1016, 616, 629]"
561758,"[1101, 544, 1091, 312, 271, 1569, 1090, 451, 92, 1355, 944, 5, 275, 281, 118, 107, 858, 50, 905, 134, 162, 1520, 357, 73, 1775, 150, 197, 904, 987, 1, 547, 9, 27, 425, 2973, 2519, 653, 1349, 392, 139, 1159, 454, 1062, 548, 71, 66, 322, 137, 10, 106, 736, 1978, 614, 2965, 1102, 1445, 145, 566, 2993, 808, 1011, 545, 869, 1624, 574, 1793, 1374, 1016, 1819, 424, 988, 54, 389, 206, 2692, 3933, 1109, 2355, 580, 1092, 565, 1014, 2534, 4816, 1104, 23, 28, 184, 313, 314, 315, 316, 2580, 2581, 3712, 612, 1292, 1263, 615, 1585, 1586, 3286, 3287, 390, 627, 628, 279, 4557, 1593, 575, 426, 4817, 4818, 1817, 1543, 1595, 2754, 2753, 616, 3713, 109, 819, 819, 901, 901, 2167, 2167, 902, 902, 43, 1902, 1438, 1439, 1440, 1023, 1441, 629, 813, 3154, 2699, 1905, 2700, 2597, 1786, 1787, 1788, 1789, 1790]"
577614,"[612, 614, 615, 389, 627, 628, 616, 629]"
604988,"[612, 614, 615, 389, 627, 628, 616, 629]"
622362,"[54, 612, 10, 614, 615, 389, 627, 628, 616, 629]"
635733,"[612, 614, 615, 389, 627, 628, 616, 629]"
683019,"[545, 1977, 612, 614, 548, 615, 389, 390, 206, 627, 628, 616, 629]"
714122,"[1430, 545, 612, 614, 615, 389, 627, 628, 616, 629]"
748719,"[54, 43, 106, 612, 138, 114, 163, 4189, 45, 69, 1046, 184, 4240, 545, 614, 177, 295, 97, 4188, 2988, 64, 615, 389, 107, 390, 206, 627, 628, 616, 629]"
835015,"[612, 614, 615, 389, 627, 628, 616, 629]"
861238,"[629, 54, 612, 628, 614, 615, 389, 627, 616]"
871990,"[545, 612, 614, 389, 615, 107, 390, 206, 627, 628, 616, 629]"
937567,"[548, 614, 612, 611, 613, 545, 615, 389, 107, 390, 206, 627, 628, 392, 279, 616, 629]"
948368,"[545, 612, 107, 614, 615, 111, 350, 389, 390, 206, 627, 628, 616, 629]"
975449,"[10, 5, 9, 89, 97, 22, 121, 59, 92, 1, 1025, 67, 995, 54, 1230, 93, 162, 550, 523, 214, 451, 129, 73, 632, 114, 230, 79, 2608, 422, 520, 742, 220, 118, 146, 2988, 312, 2403, 50, 552, 55, 617, 536, 90, 799, 107, 390, 300, 656, 521, 371, 137, 3269, 444, 657, 1067, 194, 806, 796, 225, 150, 1323, 499, 1374, 1064, 941, 124, 81, 548, 1540, 736, 2266, 1748, 317, 128, 897, 205, 545, 2404, 62, 11, 2362, 906, 627, 1877, 636, 578, 112, 27, 267, 1719, 153, 634, 156, 576, 1718, 3091, 875, 2584, 252, 958, 889, 1048, 186, 322, 737, 87, 643, 193, 1037, 1272, 2400, 1213, 667, 71, 763, 188, 389, 2127, 240, 454, 1397, 929, 350, 2426, 715, 821, 1520, 111, 82, 847, 103, 239, 2376, 595, 2370, 863, 3106, 3665, 171, 3394, 470, 790, 185, 534, 1109, 123, 229, 3710, 1717, 1107, 273, 1263, 3095, 3872, 99, 23, 798, 628, 898, 25, 276, 197, 471, 1543, 1211, 1352, 2355, 1119, 344, 629, 278, 2715, 3267, 1024, 200, 1368, 1522, 134, 792, 705, 2303, 1883, 1118, 646, 712, 817, 1065, 1217, 753, 612, 2931, 3613, 69, 331, 238, 2191, 1556, 519, 887, 3587, 3322, 682, 100, 539, 903, 1860, 3873, 3063, 387, 779, 1179, 587, 2090, 746, 460, 3874, 679, 1375, 119, 3875, 868, 2102, 2377, 3876, 3340, 467, 3561, 1554, 1266, 781, 508, 305, 368, 3877, 3878, 815, 420, 3879, 3880, 1569, 842, 517, 1951, 616, 653, 2874, 293, 1575, 583, 3393, 3881, 3882, 661, 655, 664, 662, 658, 788, 1367, 313, 314, 315, 316, 321, 839, 3743, 334, 1011, 1292, 614, 341, 342, 615, 684, 685, 686, 687, 590, 1369, 2087, 1710, 591, 1585, 1586, 363, 179, 369, 174, 1370, 3883, 3884, 3885, 376, 676, 115, 1552, 3361, 139, 206, 221, 393, 864, 789, 865, 866, 594, 66, 412, 1721, 690, 878, 68, 881, 1014, 2123, 574, 1096, 1231, 3105, 691, 219, 692, 2134, 2135, 445, 671, 1881, 1029, 638, 70, 766, 776, 1371, 453, 896, 1016, 1138, 24, 1644, 262, 706, 707, 708, 709, 710, 1525, 1526, 1527, 816, 2879, 2406, 75, 905, 2239, 1302, 1271, 2390, 2724, 1144, 1481, 1884, 1117, 1555, 800, 801, 1784, 2193, 535, 3111, 3112, 3113, 1622, 1424, 1425, 2415, 1133, 542, 2930]"
976129,"[612, 614, 615, 389, 627, 628, 616, 629]"
983600,"[545, 612, 614, 615, 389, 107, 390, 206, 627, 628, 616, 629]"
994489,"[612, 54, 22, 2008, 389, 563, 336, 1860, 4321, 319, 5087, 614, 615, 1018, 642, 627, 628, 597, 616, 2016, 2017, 629, 2018]"
1006880,"[612, 614, 615, 389, 627, 628, 616, 629]"
1024319,"[614, 612, 615, 389, 627, 628, 616, 629]"
1072465,"[545, 612, 611, 614, 1445, 389, 616, 615, 613, 107, 390, 206, 627, 628, 629]"
1129452,"[614, 1978, 607, 389, 628, 107, 134, 627, 109, 139, 150, 3283, 83, 612, 545, 548, 615, 390, 206, 3216, 616, 629]"
1135775,"[612, 614, 615, 389, 627, 628, 616, 629]"
1268792,"[612, 614, 615, 389, 627, 628, 616, 629]"
1364546,"[612, 552, 389, 614, 615, 627, 628, 616, 629]"
1423371,"[54, 612, 614, 615, 389, 627, 628, 616, 629]"
1601069,"[612, 614, 615, 389, 627, 628, 616, 629]"
1601773,"[612, 611, 613, 614, 615, 389, 627, 628, 616, 629]"
1603625,"[612, 614, 615, 389, 627, 628, 616, 629]"
1612666,"[14, 11, 43, 422, 4, 103, 54, 34, 22, 511, 1948, 5, 44, 18, 612, 453, 146, 338, 1059, 1060, 1061, 614, 615, 389, 627, 628, 616, 629]"
1665511,"[612, 614, 615, 389, 627, 628, 616, 629]"
1699101,"[612, 614, 615, 389, 627, 628, 616, 629]"
1713646,"[390, 612, 545, 614, 615, 389, 107, 206, 627, 628, 616, 629]"
1834453,"[271, 544, 281, 547, 612, 614, 615, 389, 627, 628, 616, 629]"
1851828,"[612, 611, 613, 614, 615, 389, 627, 628, 616, 629]"
1936551,"[516, 2387, 1491, 232, 2744, 112, 1906, 1367, 12, 595, 376, 4223, 324, 1348, 1864, 646, 1047, 126, 222, 184, 805, 1634, 171, 791, 1242, 875, 1105, 1050, 4224, 2244, 475, 408, 1828, 511, 2167, 1016, 995, 179, 1811, 4225, 670, 669, 828, 2527, 82, 387, 801, 1561, 114, 1302, 466, 1902, 3004, 3166, 146, 3649, 499, 2121, 1333, 725, 122, 508, 4226, 1762, 442, 97, 2743, 986, 153, 1470, 539, 614, 1228, 2542, 327, 67, 2242, 3020, 447, 115, 136, 43, 1556, 507, 393, 1011, 176, 897, 583, 300, 1368, 65, 1352, 3807, 612, 548, 344, 615, 1369, 100, 992, 151, 357, 3810, 1370, 380, 227, 388, 2028, 389, 627, 628, 2746, 2286, 2287, 77, 3648, 217, 2677, 1014, 1096, 1231, 1124, 885, 1125, 1126, 432, 2207, 3439, 3440, 3441, 3442, 3443, 3697, 1371, 896, 616, 2243, 2672, 1780, 2167, 1848, 1271, 629, 2182, 37, 716, 717, 1351, 1356, 781, 1490]"
1950243,"[48, 45, 5, 54, 275, 10, 9, 1282, 545, 65, 225, 546, 184, 1901, 782, 1449, 910, 312, 1902, 84, 1903, 1904, 520, 552, 1278, 998, 1103, 1905, 1906, 1907, 1271, 150, 444, 113, 547, 558, 22, 544, 92, 482, 670, 487, 519, 24, 612, 51, 60, 1287, 1288, 1289, 1290, 1291, 284, 999, 973, 959, 1120, 1121, 64, 614, 615, 389, 107, 390, 139, 134, 206, 627, 628, 616, 1302, 629, 716, 1303, 1304, 717, 1908]"
1971801,"[612, 611, 613, 614, 615, 389, 627, 628, 616, 629]"
2039434,"[10, 1159, 390, 612, 389, 614, 615, 107, 139, 134, 206, 627, 628, 150, 616, 629]"
2083767,"[1651, 1, 632, 1375, 49, 1046, 521, 7, 1983, 55, 570, 84, 2243, 2263, 2360, 54, 545, 2516, 22, 1101, 3428, 612, 138, 657, 546, 2244, 150, 184, 67, 393, 1403, 43, 727, 2966, 721, 1102, 2250, 2251, 611, 613, 614, 615, 684, 685, 686, 687, 389, 107, 390, 206, 627, 628, 623, 5, 438, 891, 616, 1214, 629, 1424, 1425]"
2087859,"[612, 611, 613, 545, 614, 615, 389, 107, 390, 206, 627, 628, 616, 629]"
2110581,"[54, 275, 545, 22, 92, 612, 1520, 150, 1040, 1374, 271, 2087, 10, 390, 206, 102, 1, 281, 727, 488, 134, 389, 629, 639, 107, 615, 616, 552, 627, 139, 2123, 614, 151, 628, 891]"
2184507,"[612, 614, 545, 615, 389, 107, 390, 206, 627, 628, 616, 629]"
2259650,"[10, 5, 184, 1090, 2, 312, 9, 102, 92, 451, 140, 28, 14, 43, 124, 422, 81, 275, 227, 545, 987, 1513, 54, 2201, 76, 1491, 1901, 50, 418, 552, 18, 536, 2459, 819, 1538, 902, 99, 98, 67, 230, 1924, 127, 2520, 138, 1653, 1041, 1634, 105, 2150, 241, 171, 2090, 64, 742, 1, 97, 11, 393, 240, 2585, 22, 548, 499, 1271, 3091, 385, 2187, 4, 341, 3092, 51, 206, 194, 490, 267, 3093, 361, 2181, 485, 1818, 1696, 101, 143, 443, 146, 131, 723, 458, 3094, 276, 387, 2096, 491, 2167, 1092, 635, 228, 389, 453, 2737, 132, 2087, 203, 90, 1080, 100, 69, 156, 753, 1091, 392, 179, 1649, 3095, 2426, 17, 321, 501, 1560, 771, 988, 975, 324, 483, 529, 454, 2738, 313, 314, 315, 316, 317, 331, 612, 614, 145, 615, 93, 1036, 1068, 1293, 1286, 151, 358, 359, 30, 31, 32, 1561, 25, 1070, 1071, 1072, 1072, 1073, 1073, 1074, 1074, 107, 390, 139, 134, 627, 628, 279, 1930, 66, 3096, 2123, 1771, 574, 424, 425, 426, 691, 190, 3097, 7, 729, 150, 1270, 1778, 1081, 616, 819, 901, 901, 2167, 902, 484, 3098, 629, 38, 39, 40, 519, 520, 521, 2992, 534, 3099, 569, 1936]"
2382003,"[612, 614, 615, 389, 627, 628, 616, 629]"
2428602,"[22, 612, 389, 614, 13, 615, 1098, 627, 628, 1099, 20, 616, 24, 629, 568]"
2531540,"[1793, 1520, 545, 616, 107, 1014, 1374, 1525, 612, 611, 613, 1011, 614, 548, 615, 389, 390, 206, 627, 628, 392, 279, 1016, 1526, 1527, 1297, 1280, 1298, 629]"
2613043,"[612, 614, 615, 389, 627, 628, 616, 629]"
2643609,"[612, 545, 271, 54, 275, 544, 793, 92, 443, 10, 2989, 1102, 25, 1101, 5, 558, 126, 1355, 1399, 390, 614, 22, 1774, 547, 298, 616, 2758, 214, 281, 1793, 957, 959, 1349, 2580, 2581, 1337, 2480, 611, 613, 615, 161, 389, 107, 206, 627, 628, 629, 746, 1490]"
2753525,"[54, 76, 955, 22, 545, 612, 1030, 568, 657, 10, 551, 78, 1937, 25, 18, 554, 84, 1793, 553, 1168, 107, 92, 1090, 563, 2240, 1092, 451, 5, 339, 858, 839, 1006, 1228, 1029, 72, 134, 88, 150, 139, 552, 1025, 2506, 727, 548, 203, 69, 2524, 408, 41, 82, 50, 556, 3017, 975, 1448, 1104, 614, 1070, 341, 1649, 113, 677, 2714, 1573, 2771, 23, 28, 14, 312, 184, 313, 314, 315, 316, 1091, 611, 613, 3398, 615, 362, 193, 363, 123, 179, 112, 3518, 1071, 33, 1072, 1072, 1073, 1073, 1074, 1074, 961, 389, 390, 206, 627, 628, 392, 279, 2492, 66, 162, 421, 608, 891, 896, 616, 897, 2273, 905, 235, 629, 511, 246, 1133]"
3001740,"[612, 611, 613, 614, 615, 389, 627, 628, 616, 629]"
3054990,"[612, 614, 615, 389, 627, 628, 616, 629]"
3238976,"[612, 614, 615, 389, 627, 628, 616, 629]"
3244702,"[54, 612, 545, 614, 615, 389, 390, 206, 627, 628, 616, 629]"
3249166,"[612, 614, 615, 389, 627, 628, 616, 629]"
3347312,"[612, 614, 615, 389, 627, 628, 616, 629]"
3372923,"[612, 614, 615, 389, 627, 628, 623, 1029, 616, 629]"
3449240,"[549, 10, 998, 545, 7, 275, 43, 54, 9, 177, 544, 523, 5, 520, 18, 955, 55, 163, 617, 112, 1, 1036, 327, 1789, 298, 24, 92, 499, 897, 2516, 64, 203, 220, 2965, 95, 1041, 259, 65, 280, 782, 150, 644, 132, 771, 317, 89, 1183, 585, 466, 646, 194, 815, 547, 418, 1282, 190, 295, 612, 1283, 519, 274, 296, 1287, 1288, 1289, 1290, 1291, 1312, 1313, 1314, 999, 583, 1120, 1121, 51, 60, 45, 1011, 614, 615, 728, 961, 389, 107, 390, 139, 134, 206, 627, 628, 3648, 3649, 1014, 1016, 616, 629, 40, 640]"
3450426,"[389, 627, 615, 612, 614, 628, 616, 629]"
3498717,"[545, 612, 614, 615, 389, 107, 390, 206, 627, 628, 616, 629]"
3527485,"[22, 193, 92, 5, 612, 107, 25, 150, 390, 389, 565, 826, 858, 552, 206, 545, 614, 615, 363, 627, 628, 616, 629]"
3614782,"[612, 545, 614, 615, 389, 107, 390, 206, 627, 628, 392, 279, 616, 629]"
3663009,"[545, 612, 614, 615, 389, 107, 390, 206, 627, 628, 616, 629]"
3674653,"[612, 614, 615, 389, 627, 628, 616, 629]"
3747293,"[545, 612, 614, 615, 389, 107, 390, 206, 627, 628, 616, 629]"
3783783,"[54, 544, 955, 612, 611, 547, 10, 4413, 614, 597, 84, 1910, 552, 627, 2527, 389, 613, 629, 1381, 3807, 615, 1030, 3810, 961, 628, 2746, 616]"
3897969,"[612, 614, 615, 389, 627, 628, 616, 629]"
3974133,"[612, 614, 615, 389, 627, 628, 616, 629]"
3979930,"[112, 614, 4, 177, 163, 1107, 442, 1736, 1277, 9, 184, 573, 1322, 1735, 389, 545, 24, 295, 612, 615, 107, 390, 206, 627, 628, 616, 629]"
4064412,"[612, 614, 10, 627, 54, 615, 1069, 389, 628, 616, 629]"
4156158,"[612, 614, 615, 389, 627, 628, 616, 629]"
4318904,"[612, 614, 615, 389, 627, 628, 616, 629]"
4325465,"[612, 614, 615, 389, 627, 628, 616, 629]"
4485779,"[612, 614, 615, 389, 627, 628, 616, 629]"
4595423,"[10, 612, 552, 1040, 252, 389, 471, 640, 267, 521, 52, 99, 611, 613, 614, 615, 112, 128, 627, 628, 240, 418, 171, 219, 616, 629, 801]"
4603800,"[612, 611, 613, 614, 615, 389, 627, 628, 616, 629]"
4677023,"[612, 614, 615, 389, 627, 628, 616, 629]"
4812175,"[612, 389, 614, 615, 627, 628, 616, 629]"
4824107,"[5, 84, 22, 499, 92, 10, 150, 69, 615, 107, 1072, 1217, 590, 1070, 389, 629, 9, 50, 612, 614, 1071, 1072, 1073, 1073, 1074, 1074, 139, 134, 206, 627, 628, 66, 2403, 616]"
4834220,"[22, 184, 1020, 14, 988, 271, 1, 1101, 281, 2, 10, 545, 547, 1091, 1102, 987, 150, 544, 1090, 1092, 612, 614, 615, 389, 107, 390, 139, 134, 206, 627, 628, 616, 629]"
4877411,"[611, 612, 1099, 545, 613, 389, 614, 615, 627, 628, 616, 629]"
4897767,"[612, 614, 615, 389, 627, 628, 616, 629]"
4986667,"[612, 614, 615, 389, 627, 628, 616, 629]"
5217749,"[612, 545, 614, 615, 389, 107, 390, 206, 627, 628, 616, 629]"
5220782,"[544, 545, 547, 107, 612, 614, 615, 389, 390, 206, 627, 628, 392, 279, 616, 629]"
5232588,"[612, 616, 614, 389, 615, 627, 628, 629]"
5270060,"[545, 275, 10, 996, 612, 997, 611, 613, 614, 548, 615, 389, 390, 206, 627, 628, 616, 629]"
5307960,"[612, 614, 615, 389, 627, 628, 616, 629]"
5314150,"[612, 611, 613, 545, 548, 390, 206]"
5387470,"[998, 545, 1016, 897, 77, 54, 3120, 76, 1965, 614, 106, 1096, 612, 10, 1942, 1011, 558, 1020, 1231, 1862, 1445, 1109, 25, 163, 974, 1446, 548, 443, 127, 177, 1569, 276, 1014, 559, 4911, 953, 1266, 150, 1048, 1200, 274, 2378, 296, 280, 295, 1312, 1313, 1314, 999, 1793, 611, 613, 615, 1585, 1586, 389, 107, 390, 206, 627, 628, 2385, 3216, 4912, 796, 896, 4913, 616, 629, 4914, 605, 523]"
5600822,"[545, 612, 614, 615, 389, 107, 390, 206, 627, 628, 616, 629]"
5689496,"[545, 612, 611, 613, 614, 548, 615, 389, 627, 628, 616, 629]"
5759284,"[612, 614, 615, 389, 627, 628, 616, 629]"
5860071,"[955, 275, 102, 545, 612, 22, 20, 959, 611, 613, 548, 76, 961, 390, 206]"
5949488,"[570, 107, 22, 150, 389, 612, 545, 614, 615, 390, 139, 134, 206, 627, 628, 616, 629]"
5976642,"[612, 545, 10, 614, 958, 615, 592, 572, 389, 627, 628, 616, 629]"
5990132,"[232, 2516, 463, 4673, 2368, 1043, 1134, 4144, 4762, 3594, 165, 3827, 2539, 1028, 3711, 8, 2630, 4763, 153, 2090, 1333, 22, 2035, 2984, 408, 906, 1948, 805, 2764, 4764, 4765, 4690, 3088, 1986, 327, 2549, 2811, 1278, 4688, 3620, 4766, 4405, 2986, 612, 611, 613, 112, 4767, 2763, 3461, 3462, 4684, 1031]"
6144819,"[5, 10, 1, 2, 184, 611, 54, 1410, 312, 443, 629, 163, 225, 612, 177, 280, 295, 833, 834, 835, 836, 313, 314, 315, 316, 613, 614, 340, 615, 389, 627, 628, 616]"
6216773,"[612, 611, 613]"
6252885,"[54, 65, 612, 611, 613, 614, 615, 389, 627, 628, 1089, 616, 629, 558]"
6394150,"[612, 611, 613]"
6439568,"[612, 1355, 545, 54, 623, 1349, 611, 613, 107, 390, 206]"
6656519,"[612, 611, 613]"
6717871,"[184, 1410, 84, 312, 92, 451, 114, 992, 11, 275, 278, 2860, 138, 112, 97, 1, 521, 1029, 2518, 745, 134, 3417, 736, 1088, 657, 5, 1264, 408, 596, 118, 93, 1901, 1050, 9, 22, 466, 3030, 545, 422, 55, 1047, 150, 143, 548, 107, 3418, 646, 1520, 389, 2100, 2147, 1248, 1249, 584, 1679, 1680, 1678, 585, 1681, 959, 168, 2514, 313, 314, 315, 316, 2272, 3291, 612, 611, 613, 54, 3417, 614, 615, 346, 347, 855, 1744, 3110, 3126, 1315, 2357, 151, 357, 3294, 1759, 593, 390, 139, 206, 627, 628, 392, 279, 395, 396, 397, 3296, 406, 874, 430, 49, 3298, 1454, 616, 3299, 3350, 1525, 1526, 1527, 3301, 75, 629, 38, 39, 40, 507, 1323, 931, 933, 3419]"
6820462,"[3110, 627, 628, 629, 612, 614, 615, 389, 616]"
6928806,"[22, 443, 819, 97, 14, 44, 739, 81, 545, 113, 5, 54, 905, 361, 1020, 626, 1072, 18, 519, 15, 33, 105, 520, 612, 614, 615, 1072, 389, 627, 628, 157, 616, 819, 629]"
6979578,"[612, 611, 613]"
7015471,"[43, 1, 278, 4, 92, 107, 2645, 134, 139, 9, 150, 929, 5, 392, 298, 3175, 206, 615, 612, 545, 614, 30, 31, 32, 1151, 389, 390, 391, 627, 628, 279, 1152, 616, 1296, 1213, 629, 38, 39, 40]"
7020135,"[545, 612, 611, 613, 614, 615, 389, 107, 390, 206, 627, 628, 616, 629]"
7094039,"[611, 612, 613]"
7163917,"[5, 392, 10, 150, 134, 107, 206, 293, 612, 614, 615, 389, 139, 627, 628, 279, 92, 616, 629, 194]"
7203603,"[54, 1220, 554, 20, 545, 271, 727, 281, 2531, 10, 290, 612, 13, 1824, 1029, 1185, 1774, 549, 597, 614, 615, 389, 107, 390, 206, 627, 628, 891, 150, 616, 24, 629, 618]"
7249363,"[612, 628, 627, 338, 389, 22, 614, 615, 139, 616, 629]"
7273540,"[558, 275, 959, 612, 614, 615, 389, 627, 628, 616, 629]"
7418489,"[545, 612, 614, 390, 107, 615, 389, 206, 627, 628, 616, 629]"
7431946,"[184, 1410, 2499, 1242, 568, 43, 1028, 1311, 1449, 54, 22, 1149, 10, 548, 92, 69, 232, 327, 1021, 298, 149, 657, 1029, 1906, 1885, 1752, 545, 612, 614, 615, 389, 107, 390, 206, 627, 628, 616, 1031, 629, 1567]"
7440594,"[89, 84, 93, 585, 1770, 59, 994, 54, 184, 118, 82, 1754, 111, 847, 1753, 1006, 421, 143, 657, 11, 455, 2506, 422, 545, 612, 2262, 7, 1399, 711, 107, 551, 566, 1102, 18, 805, 1793, 443, 1184, 206, 2507, 72, 351, 27, 288, 1761, 281, 271, 1101, 63, 614, 615, 350, 166, 2090, 2508, 25, 33, 389, 390, 627, 628, 50, 66, 67, 68, 1771, 574, 1772, 69, 55, 49, 616, 1207, 897, 205, 71, 73, 629, 1456, 806, 1951]"
7507458,"[612, 614, 615, 389, 627, 628, 616, 629]"
7519923,"[612, 611, 613]"
7527129,"[612, 611, 613, 545, 614, 548, 615, 389, 107, 390, 206, 627, 628, 392, 279, 616, 629]"
7585698,"[612, 611, 613, 614, 615, 389, 627, 628, 616, 629]"
7617325,"[612, 614, 615, 389, 627, 628, 616, 629]"
7736384,"[612, 54, 614, 615, 389, 627, 628, 616, 629]"
7757631,"[612, 614, 615, 389, 627, 628, 616, 629]"
7907686,"[43, 312, 5, 98, 1025, 9, 1940, 18, 103, 1311, 1134, 327, 81, 2452, 184, 44, 910, 105, 162, 1415, 150, 90, 278, 126, 45, 992, 285, 10, 1039, 1956, 76, 1020, 739, 2365, 65, 1410, 23, 548, 1399, 421, 1904, 275, 113, 118, 22, 1043, 389, 34, 2999, 1278, 1751, 345, 552, 2993, 1530, 487, 1074, 612, 1908, 1, 583, 2856, 313, 314, 315, 316, 124, 51, 64, 60, 611, 613, 545, 230, 338, 614, 145, 615, 2555, 2556, 2557, 2558, 2559, 2560, 546, 1315, 179, 1074, 107, 390, 139, 134, 206, 627, 628, 392, 279, 399, 424, 425, 426, 453, 616, 1296, 486, 1682, 771, 629, 1753, 2850, 3233, 3234, 38, 39, 40, 519, 537, 1133]"
7923954,"[612, 614, 615, 389, 627, 628, 616, 629]"
7955670,"[10, 612, 54, 5, 611, 1101, 2597, 278, 554, 286, 43, 1102, 975, 613, 362, 193, 363, 82, 123, 1213, 529]"
7987640,"[611, 612, 613]"
8013465,"[612, 611, 613, 614, 615, 389, 390, 206, 627, 628, 616, 629]"
8100868,"[612, 614, 615, 389, 627, 628, 616, 629]"
8259307,"[10, 43, 1, 20, 1073, 16, 1883, 97, 327, 1098, 98, 89, 1151, 657, 200, 18, 33, 286, 4, 123, 1138, 771, 1386, 487, 422, 81, 2240, 1057, 113, 406, 1513, 722, 73, 104, 259, 1036, 2701, 736, 1731, 341, 278, 229, 1072, 730, 511, 93, 4214, 156, 1760, 1074, 270, 733, 1538, 1071, 146, 2028, 300, 389, 1373, 1832, 887, 27, 653, 612, 545, 614, 615, 346, 1067, 347, 1041, 2330, 30, 31, 32, 1070, 1072, 1073, 1074, 107, 390, 139, 134, 206, 627, 628, 150, 616, 243, 629, 499, 38, 39, 40, 519, 520]"
8277694,"[611, 612, 613]"
8311704,"[134, 9, 150, 281, 4, 565, 547, 389, 5, 544, 271, 612, 545, 614, 615, 107, 390, 139, 206, 627, 628, 279, 1702, 1701, 616, 629]"
8334557,"[1016, 612, 1011, 614, 615, 389, 390, 206, 627, 628, 1014, 616, 629]"
8415723,"[612, 614, 615, 389, 627, 628, 616, 629]"
8542204,"[22, 544, 43, 92, 90, 166, 76, 1090, 150, 54, 184, 420, 254, 547, 161, 1, 551, 988, 657, 545, 905, 568, 10, 501, 124, 230, 511, 5, 1091, 69, 118, 145, 1530, 177, 163, 987, 1098, 295, 1092, 107, 390, 206, 1149, 246]"
8567888,"[545, 612, 614, 615, 389, 107, 390, 206, 627, 628, 616, 629]"
